Frame	RMSD ($\AA$)
1	1.081
2	1.18
3	1.113
4	1.075
5	1.135
6	0.96
7	1.122
8	1.072
9	1.012
10	1.01
11	1.086
12	0.936
13	0.978
14	1.022
15	0.976
16	1.01
17	1.075
18	1.035
19	1.018
20	1.006
21	0.92
22	0.866
23	0.942
24	0.863
25	0.952
26	0.92
27	0.992
28	1.056
29	1.006
30	0.947
31	0.958
32	0.914
33	0.96
34	1.066
35	1.034
36	0.804
37	0.882
38	0.988
39	1.053
40	1.065
41	0.912
42	1.004
43	0.972
44	1.008
45	0.958
46	0.972
47	1.054
48	1.157
49	1.028
50	1.063
51	1.146
52	1.228
53	1.147
54	1.054
55	1.088
56	1.182
57	1.096
58	1.105
59	1.173
60	1.066
61	1.144
62	1.089
63	1.077
64	1.016
65	0.936
66	0.954
67	1.121
68	1.069
69	1.062
70	1.095
71	1.064
72	1.069
73	1.141
74	1.123
75	1.137
76	1.204
77	1.191
78	1.228
79	1.246
80	1.309
81	1.225
82	1.234
83	1.211
84	1.165
85	1.169
86	1.22
87	1.222
88	1.306
89	1.2
90	1.146
91	1.189
92	1.258
93	1.23
94	1.183
95	1.194
96	1.132
97	1.255
98	1.116
99	1.229
100	1.21
Average	1.079
Standard deviation	0.108
Median	1.074
