Frame	X	Y	Z
1	-9.16	3.95	-21.33
2	-9.125	4.258	-21.55
3	-8.91	4.09	-21.39
4	-9.086	4.76	-21.5
5	-8.87	4.844	-21.61
6	-8.98	4.31	-21.39
7	-9.09	4.863	-21.33
8	-9.14	4.62	-21.1
9	-8.97	4.5	-21.03
10	-9.234	5.062	-21.11
11	-9.22	4.645	-21.1
12	-9.336	3.9	-21.34
13	-9.74	3.947	-21.42
14	-8.9	3.918	-21.12
15	-9.04	4.312	-21.33
16	-9.15	4.324	-21.25
17	-9.1	3.947	-21.52
18	-8.984	3.89	-21.72
19	-9.41	4.27	-21.22
20	-9.58	4.258	-21.33
21	-9.4	4.52	-21.25
22	-9.125	4.47	-21.44
23	-9.17	3.777	-21.4
24	-9.06	4.586	-21.17
25	-9.22	4.473	-20.98
26	-9.19	4.12	-21.4
27	-9.08	4.84	-21.17
28	-9.54	4.387	-21.64
29	-9.9	5.11	-21.45
30	-9.41	4.97	-21.48
31	-9.78	4.84	-21.34
32	-9.266	4.09	-21.6
33	-8.875	3.797	-21.52
34	-9.445	4.543	-21.56
35	-9.01	4.344	-21.72
36	-9.0	4.664	-21.89
37	-8.97	4.305	-21.45
38	-9.51	4.355	-21.11
39	-9.17	4.37	-21.31
40	-9.03	4.312	-21.61
41	-9.484	4.36	-21.39
42	-8.64	4.816	-21.33
43	-9.336	4.79	-21.34
44	-8.625	4.008	-21.3
45	-8.59	4.46	-21.48
46	-8.68	4.355	-21.3
47	-8.82	4.33	-21.92
48	-9.06	3.922	-21.33
49	-9.05	4.07	-21.11
50	-9.17	5.06	-21.17
51	-9.41	5.215	-21.39
52	-9.15	4.246	-21.1
53	-9.21	4.66	-21.2
54	-9.32	4.574	-21.33
55	-9.336	4.387	-21.28
56	-9.27	3.69	-21.45
57	-9.35	4.12	-21.25
58	-9.16	3.861	-21.58
59	-8.74	3.465	-21.36
60	-8.71	3.988	-21.48
61	-8.83	3.867	-21.27
62	-8.73	3.826	-21.8
63	-8.34	3.83	-21.27
64	-8.94	3.504	-21.25
65	-8.8	2.998	-21.27
66	-8.89	3.271	-21.16
67	-8.89	3.574	-21.31
68	-8.945	3.428	-21.69
69	-9.04	4.113	-21.6
70	-9.3	3.143	-21.69
71	-9.04	3.836	-21.36
72	-9.336	4.035	-21.44
73	-9.27	4.18	-20.64
74	-9.15	3.697	-21.27
75	-9.695	4.32	-20.98
76	-9.39	4.06	-21.23
77	-9.14	4.082	-21.12
78	-9.22	4.547	-21.33
79	-9.016	3.666	-21.69
80	-9.62	3.38	-21.34
81	-9.46	3.662	-20.86
82	-9.945	3.926	-20.95
83	-9.414	3.863	-21.25
84	-8.87	3.342	-21.33
85	-9.21	4.332	-21.16
86	-9.78	4.355	-21.17
87	-10.27	4.293	-21.25
88	-9.664	4.957	-21.17
89	-9.375	4.33	-21.2
90	-9.51	4.28	-21.44
91	-9.41	4.523	-21.33
92	-9.6	4.234	-21.4
93	-9.22	3.938	-21.5
94	-9.35	4.113	-21.44
95	-9.75	4.82	-21.34
96	-9.21	4.168	-21.42
97	-9.266	4.703	-21.4
98	-9.24	3.69	-21.44
99	-9.76	4.285	-20.73
100	-9.516	5.24	-21.4
Average	-9.2	4.223	-21.34
